tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
正在,"[[18, 19]]",[1],0,middle,8,6,"[""\u5341\u5206\u5371\u6025"", ""\u3002"", ""\u5f20\u5bb6\u6c49""]","[""\u5c0f\u533a"", ""\u503c\u73ed"", ""\uff0c""]","""\u60c5\u51b5\u5341\u5206\u5371\u6025\u3002\u5f20\u5bb6\u6c49"""
小区,"[[20, 21]]",[1],0,middle,9,5,"[""\u3002"", ""\u5f20\u5bb6\u6c49"", ""\u6b63\u5728""]","[""\u503c\u73ed"", ""\uff0c"", ""\u4ed6""]","""\u60c5\u51b5\u5341\u5206\u5371\u6025\u3002\u5f20\u5bb6\u6c49\u6b63\u5728"""
值班,"[[22, 23]]",[1],0,middle,10,4,"[""\u5f20\u5bb6\u6c49"", ""\u6b63\u5728"", ""\u5c0f\u533a""]","[""\uff0c"", ""\u4ed6"", ""\u6ca1\u6709""]","""\u60c5\u51b5\u5341\u5206\u5371\u6025\u3002\u5f20\u5bb6\u6c49\u6b63\u5728\u5c0f\u533a"""
，,[[24]],[1],0,middle,11,3,"[""\u6b63\u5728"", ""\u5c0f\u533a"", ""\u503c\u73ed""]","[""\u4ed6"", ""\u6ca1\u6709"", ""\u4efb\u4f55""]","""\u60c5\u51b5\u5341\u5206\u5371\u6025\u3002\u5f20\u5bb6\u6c49\u6b63\u5728\u5c0f\u533a\u503c\u73ed"""
他,[[25]],[1],0,middle,12,2,"[""\u5c0f\u533a"", ""\u503c\u73ed"", ""\uff0c""]","[""\u6ca1\u6709"", ""\u4efb\u4f55"", ""<EOR>""]","""\u5f20\u5bb6\u6c49\u6b63\u5728\u5c0f\u533a\u503c\u73ed\uff0c"""
没有,"[[26, 27]]",[1],0,middle,13,1,"[""\u503c\u73ed"", ""\uff0c"", ""\u4ed6""]","[""\u4efb\u4f55"", ""<EOR>""]","""\u5f20\u5bb6\u6c49\u6b63\u5728\u5c0f\u533a\u503c\u73ed\uff0c\u4ed6"""
任何,"[[28, 29]]",[1],0,row_end,14,0,"[""\uff0c"", ""\u4ed6"", ""\u6ca1\u6709""]","[""<EOR>""]","""\u5f20\u5bb6\u6c49\u6b63\u5728\u5c0f\u533a\u503c\u73ed\uff0c\u4ed6\u6ca1\u6709"""
防护设备,"[[0, 1, 2, 3]]",[2],0,row_start,0,5,"[""<SOR>""]","[""\uff0c"", ""\u53ea\u8eab"", ""\u51b2\u5165""]","""\u5f20\u5bb6\u6c49\u6b63\u5728\u5c0f\u533a\u503c\u73ed\uff0c\u4ed6\u6ca1\u6709\u4efb\u4f55"""
，,[[4]],[2],0,middle,1,4,"[""<SOR>"", ""\u9632\u62a4\u8bbe\u5907""]","[""\u53ea\u8eab"", ""\u51b2\u5165"", ""\u706b\u573a""]","""\u5f20\u5bb6\u6c49\u6b63\u5728\u5c0f\u533a\u503c\u73ed\uff0c\u4ed6\u6ca1\u6709\u4efb\u4f55\u9632\u62a4\u8bbe\u5907"""
只身,"[[5, 6]]",[2],0,middle,2,3,"[""<SOR>"", ""\u9632\u62a4\u8bbe\u5907"", ""\uff0c""]","[""\u51b2\u5165"", ""\u706b\u573a"", ""\u3002""]","""\u4ed6\u6ca1\u6709\u4efb\u4f55\u9632\u62a4\u8bbe\u5907\uff0c"""
冲入,"[[7, 8]]",[2],0,middle,3,2,"[""\u9632\u62a4\u8bbe\u5907"", ""\uff0c"", ""\u53ea\u8eab""]","[""\u706b\u573a"", ""\u3002"", ""<EOR>""]","""\u4ed6\u6ca1\u6709\u4efb\u4f55\u9632\u62a4\u8bbe\u5907\uff0c\u53ea\u8eab"""
火场,"[[9, 10]]",[2],0,middle,4,1,"[""\uff0c"", ""\u53ea\u8eab"", ""\u51b2\u5165""]","[""\u3002"", ""<EOR>""]","""\u4ed6\u6ca1\u6709\u4efb\u4f55\u9632\u62a4\u8bbe\u5907\uff0c\u53ea\u8eab\u51b2\u5165"""
。,[[11]],[2],0,row_end,5,0,"[""\u53ea\u8eab"", ""\u51b2\u5165"", ""\u706b\u573a""]","[""<EOR>""]","""\u4ed6\u6ca1\u6709\u4efb\u4f55\u9632\u62a4\u8bbe\u5907\uff0c\u53ea\u8eab\u51b2\u5165\u706b\u573a"""
    ,"[[0, 1]]",[3],0,row_start,0,16,"[""<SOR>""]","[""\u5728"", ""\u706b\u707e\u73b0\u573a"", ""\uff0c""]","""\u53ea\u8eab\u51b2\u5165\u706b\u573a\u3002"""
在,[[2]],[3],0,middle,1,15,"[""<SOR>"", ""    ""]","[""\u706b\u707e\u73b0\u573a"", ""\uff0c"", ""\u5f20\u5bb6\u6c49""]","""    """
火灾现场,"[[3, 4, 5, 6]]",[3],0,middle,2,14,"[""<SOR>"", ""    "", ""\u5728""]","[""\uff0c"", ""\u5f20\u5bb6\u6c49"", ""\u6beb\u4e0d""]","""    \u5728"""
，,[[7]],[3],0,middle,3,13,"[""    "", ""\u5728"", ""\u706b\u707e\u73b0\u573a""]","[""\u5f20\u5bb6\u6c49"", ""\u6beb\u4e0d"", ""\u754f\u60e7""]","""    \u5728\u706b\u707e\u73b0\u573a"""
