tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
    ,"[[0, 1]]",[4],0,row_start,0,15,"[""<SOR>""]","[""\u5c0f"", ""\u7897"", ""1""]","""\u6709\u7684\u9178\u4e00\u4e9b\u3002"""
小,[[2]],[4],0,middle,1,14,"[""<SOR>"", ""    ""]","[""\u7897"", ""1"", ""\u5757""]","""    """
碗,[[3]],[4],0,middle,2,13,"[""<SOR>"", ""    "", ""\u5c0f""]","[""1"", ""\u5757"", ""\uff0c""]","""    \u5c0f"""
1,[[4]],[4],0,middle,3,12,"[""    "", ""\u5c0f"", ""\u7897""]","[""\u5757"", ""\uff0c"", ""\u5927\u7897""]","""    \u5c0f\u7897"""
块,[[5]],[4],0,middle,4,11,"[""\u5c0f"", ""\u7897"", ""1""]","[""\uff0c"", ""\u5927\u7897"", ""2""]","""    \u5c0f\u78971"""
，,[[6]],[4],0,middle,5,10,"[""\u7897"", ""1"", ""\u5757""]","[""\u5927\u7897"", ""2"", ""\u5757""]","""    \u5c0f\u78971\u5757"""
大碗,"[[7, 8]]",[4],0,middle,6,9,"[""1"", ""\u5757"", ""\uff0c""]","[""2"", ""\u5757"", ""\u3002""]","""\u5c0f\u78971\u5757\uff0c"""
2,[[9]],[4],0,middle,7,8,"[""\u5757"", ""\uff0c"", ""\u5927\u7897""]","[""\u5757"", ""\u3002"", ""\u4e00\u822c""]","""\u5c0f\u78971\u5757\uff0c\u5927\u7897"""
块,[[10]],[4],0,middle,8,7,"[""\uff0c"", ""\u5927\u7897"", ""2""]","[""\u3002"", ""\u4e00\u822c"", ""\u9762\u9986""]","""\u5c0f\u78971\u5757\uff0c\u5927\u78972"""
。,[[11]],[4],0,middle,9,6,"[""\u5927\u7897"", ""2"", ""\u5757""]","[""\u4e00\u822c"", ""\u9762\u9986"", ""\u90fd""]","""\u5c0f\u78971\u5757\uff0c\u5927\u78972\u5757"""
一般,"[[12, 13]]",[4],0,middle,10,5,"[""2"", ""\u5757"", ""\u3002""]","[""\u9762\u9986"", ""\u90fd"", ""\u6709\u7684""]","""\u5927\u78972\u5757\u3002"""
面馆,"[[14, 15]]",[4],0,middle,11,4,"[""\u5757"", ""\u3002"", ""\u4e00\u822c""]","[""\u90fd"", ""\u6709\u7684"", ""\u996e\u6599""]","""\u5927\u78972\u5757\u3002\u4e00\u822c"""
都,[[16]],[4],0,middle,12,3,"[""\u3002"", ""\u4e00\u822c"", ""\u9762\u9986""]","[""\u6709\u7684"", ""\u996e\u6599"", ""\u3002""]","""\u5927\u78972\u5757\u3002\u4e00\u822c\u9762\u9986"""
有的,"[[17, 18]]",[4],0,middle,13,2,"[""\u4e00\u822c"", ""\u9762\u9986"", ""\u90fd""]","[""\u996e\u6599"", ""\u3002"", ""<EOR>""]","""\u5927\u78972\u5757\u3002\u4e00\u822c\u9762\u9986\u90fd"""
饮料,"[[19, 20]]",[4],0,middle,14,1,"[""\u9762\u9986"", ""\u90fd"", ""\u6709\u7684""]","[""\u3002"", ""<EOR>""]","""\u5927\u78972\u5757\u3002\u4e00\u822c\u9762\u9986\u90fd\u6709\u7684"""
。,[[21]],[4],0,row_end,15,0,"[""\u90fd"", ""\u6709\u7684"", ""\u996e\u6599""]","[""<EOR>""]","""\u5927\u78972\u5757\u3002\u4e00\u822c\u9762\u9986\u90fd\u6709\u7684\u996e\u6599"""
    ,"[[0, 1]]",[5],0,row_start,0,22,"[""<SOR>""]","[""\u4f46\u662f"", ""\u5ea6\u6570"", ""\u9ad8\u7684""]","""\u4e00\u822c\u9762\u9986\u90fd\u6709\u7684\u996e\u6599\u3002"""
但是,"[[2, 3]]",[5],0,middle,1,21,"[""<SOR>"", ""    ""]","[""\u5ea6\u6570"", ""\u9ad8\u7684"", ""\u4e5f""]","""    """
度数,"[[4, 5]]",[5],0,middle,2,20,"[""<SOR>"", ""    "", ""\u4f46\u662f""]","[""\u9ad8\u7684"", ""\u4e5f"", ""\u6709""]","""    \u4f46\u662f"""
高的,"[[6, 7]]",[5],0,middle,3,19,"[""    "", ""\u4f46\u662f"", ""\u5ea6\u6570""]","[""\u4e5f"", ""\u6709"", ""\u5f53""]","""    \u4f46\u662f\u5ea6\u6570"""
也,[[8]],[5],0,middle,4,18,"[""\u4f46\u662f"", ""\u5ea6\u6570"", ""\u9ad8\u7684""]","[""\u6709"", ""\u5f53"", ""\u9152\u9986""]","""    \u4f46\u662f\u5ea6\u6570\u9ad8\u7684"""
有,[[9]],[5],0,middle,5,17,"[""\u5ea6\u6570"", ""\u9ad8\u7684"", ""\u4e5f""]","[""\u5f53"", ""\u9152\u9986"", ""\u7684""]","""    \u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f"""
